IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
43.213.230.249,4,4,0.00,94.43,43.01,TPE,443
198.13.60.163,4,4,0.00,76.61,42.56,NRT,443
146.56.119.205,4,4,0.00,87.00,42.55,ICN,443
45.77.130.6,4,4,0.00,77.90,42.34,NRT,443
168.107.56.181,4,4,0.00,76.87,41.36,ICN,443
45.202.248.41,4,4,0.00,148.69,41.07,HKG,8443
207.148.90.139,4,4,0.00,77.57,40.87,NRT,443
103.195.191.121,4,4,0.00,115.43,40.64,SIN,443
139.180.193.51,4,4,0.00,88.26,40.59,NRT,443
194.68.27.90,4,4,0.00,76.32,40.53,NRT,443
161.33.135.140,4,4,0.00,98.63,40.52,NRT,443
161.33.148.146,4,4,0.00,99.98,40.39,NRT,443
74.222.12.84,4,4,0.00,84.28,40.26,NRT,8443
43.108.46.150,4,4,0.00,42.86,39.93,ICN,8443
161.33.205.231,4,4,0.00,98.68,39.52,NRT,443
161.33.138.142,4,4,0.00,100.03,39.15,NRT,443
198.13.33.123,4,4,0.00,75.72,38.94,NRT,443
54.169.57.101,4,4,0.00,72.18,38.88,SIN,8443
151.145.67.90,4,4,0.00,109.04,38.53,NRT,8443
85.121.122.177,4,4,0.00,85.77,38.49,NRT,8443
45.32.17.67,4,4,0.00,81.66,38.05,NRT,443
180.196.128.122,4,4,0.00,118.88,37.27,KIX,443
152.69.229.110,4,4,0.00,90.62,37.24,ICN,443
45.76.208.253,4,4,0.00,78.50,36.57,NRT,443
138.2.25.230,4,4,0.00,109.54,34.99,NRT,443
74.222.12.215,4,4,0.00,84.50,34.70,NRT,443
103.213.4.77,4,4,0.00,94.96,34.50,HKG,443
54.168.111.158,4,4,0.00,91.64,34.12,NRT,443
52.192.169.96,4,4,0.00,91.38,34.04,NRT,8443
104.238.149.235,4,4,0.00,89.10,33.68,NRT,443
134.185.112.134,4,4,0.00,70.15,33.02,ICN,443
16.163.98.204,4,4,0.00,104.04,32.89,HKG,443
134.185.127.173,4,4,0.00,72.01,32.65,ICN,443
167.179.117.9,4,4,0.00,74.92,32.57,NRT,443
13.114.50.138,4,4,0.00,96.87,32.42,NRT,8443
54.179.213.8,4,4,0.00,74.66,32.24,SIN,8443
18.166.157.154,4,4,0.00,105.14,31.89,HKG,443
193.123.160.110,4,4,0.00,97.78,31.47,NRT,443
168.107.0.210,4,4,0.00,67.77,31.44,ICN,443
188.253.118.241,4,4,0.00,55.81,31.34,NRT,443
91.213.174.177,4,4,0.00,147.12,31.29,HKG,443
15.168.27.230,4,4,0.00,95.36,30.73,KIX,443
54.255.175.251,4,4,0.00,74.32,30.40,SIN,8443
103.195.188.206,4,4,0.00,102.78,30.27,SIN,443
45.221.113.57,4,4,0.00,143.13,29.75,HKG,443
18.180.127.240,4,4,0.00,118.29,29.71,NRT,8443
20.41.123.20,4,4,0.00,102.15,29.40,ICN,443
103.195.191.118,4,4,0.00,102.19,29.20,SIN,443
82.27.11.155,4,4,0.00,137.55,28.58,HKG,443
133.18.105.95,4,4,0.00,101.11,28.45,KIX,443
45.221.113.70,4,4,0.00,134.61,28.22,HKG,443
47.80.57.116,4,4,0.00,44.05,28.21,ICN,443
18.166.216.113,4,4,0.00,106.30,27.93,NRT,443
43.175.131.30,4,4,0.00,36.91,27.28,HKG,443
16.163.174.115,4,4,0.00,109.78,27.21,HKG,443
85.121.51.14,4,4,0.00,146.87,27.13,HKG,2096
91.213.186.64,4,4,0.00,147.98,27.02,HKG,443
168.110.112.196,4,4,0.00,76.98,26.94,ICN,8443
141.147.182.70,4,4,0.00,109.44,26.91,NRT,443
43.164.132.89,4,4,0.00,61.11,26.21,ICN,8443
5.223.70.20,4,4,0.00,148.86,26.09,SIN,8443
54.180.141.246,4,4,0.00,103.73,26.05,ICN,443
91.213.174.82,4,4,0.00,145.63,25.89,HKG,443
216.23.93.131,4,4,0.00,138.42,25.27,HKG,443
95.40.77.144,4,4,0.00,107.59,24.78,HKG,443
168.110.121.126,4,4,0.00,67.46,24.51,ICN,8443
103.247.28.26,4,4,0.00,141.15,24.30,HKG,443
3.37.245.168,4,4,0.00,104.42,24.21,ICN,443
13.124.169.29,4,4,0.00,105.92,24.00,ICN,443
155.117.155.115,4,4,0.00,88.58,23.97,NRT,443
177.3.89.196,4,4,0.00,71.28,23.55,NRT,443
198.13.45.210,4,4,0.00,77.34,23.21,NRT,443
8.222.193.153,4,4,0.00,75.49,22.54,NRT,443
60.249.101.167,4,4,0.00,68.88,22.42,KHH,443
141.11.139.215,4,4,0.00,88.58,21.59,NRT,443
91.213.186.189,4,4,0.00,145.53,21.38,HKG,443
82.27.11.11,4,4,0.00,143.35,20.91,HKG,443
141.11.138.102,4,4,0.00,103.12,20.85,NRT,443
191.223.217.68,4,4,0.00,147.70,20.51,HKG,8443
45.207.156.204,4,4,0.00,149.06,20.23,HKG,443
